date,link,text
2019-01-03 12:28,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-draftsperson/6785961380.html,AutoCAD Draftsperson
2019-01-03 11:26,https://newyork.craigslist.org/que/egr/d/queens-village-project-manager-of-hvac/6785894142.html,Project Manager of HVAC Construction
2019-01-03 11:20,https://newyork.craigslist.org/que/egr/d/queens-village-mechanical-engineer/6785888115.html,Mechanical Engineer / Assistant PM
2019-01-03 09:08,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman/6785776980.html,DRAFTSMAN
2019-01-03 07:37,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-or-senior/6785740677.html,Architect or Senior Draftsperson
2019-01-03 07:35,https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6785740167.html,Architectural Draftsperson
2019-01-02 22:34,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6785635936.html,Construction Project Manager
2019-01-02 19:12,https://newyork.craigslist.org/brk/egr/d/nys-licensed-architect-or-pe/6785520107.html,NYS Licensed Architect or PE
2019-01-02 15:09,https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-estimator/6785300630.html,Mechanical Estimator
2019-01-02 12:37,https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6785128152.html,"Interior Designer Available for Architects, Designers and Developers"
2019-01-02 11:30,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6785053382.html,Junior Architect
2019-01-02 10:25,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection-engineers-and/6784989247.html,Plumbing -Fire Protection Engineers and Designers-REVIT
2019-01-02 10:19,https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical-engineers-2-years/6784983507.html,Mid Level Electrical Engineers (2+ Years-with REVIT)
2019-01-02 10:09,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mep-design/6784974935.html,Senior MEP Design Engineers - Mech/Elec/Plumb-FP
2019-01-02 10:05,https://newyork.craigslist.org/lgi/egr/d/valley-stream-engineer-estimator/6784971993.html,Engineer/ Estimator/
2019-01-02 10:01,https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-mep-engineers-mech-elec/6784968625.html,Sr. Project/PM MEP Engineers -MECH/ELEC/PL-FP
2019-01-01 22:53,https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator/6784804356.html,Construction Estimator
2019-01-01 16:59,https://newyork.craigslist.org/brk/egr/d/professional-wanted/6784620002.html,Professional wanted
2018-12-31 21:06,https://newyork.craigslist.org/brk/egr/d/brooklyn-electronics-geek-wanted-for/6784229480.html,"Electronics Geek Wanted for Super-Relaxed, Easy AF Job"
2018-12-31 09:55,https://newyork.craigslist.org/que/egr/d/change-your-career-earn-up-to-120k/6783789407.html,CHANGE YOUR CAREER: EARN up to $120K+ CLOSING IN-HOME SALES
2018-12-31 07:00,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction/6783726652.html,Construction Superintendent for 6 Story Condo
2018-12-31 01:22,https://newyork.craigslist.org/brk/egr/d/new-york-city-construction-project/6783689403.html,CONSTRUCTION - PROJECT MANAGERS
2018-12-30 18:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architects-full-time-and/6783531859.html,Architects - Full Time and Freelance
2018-12-28 18:19,https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-project-manager/6782253137.html,ESTIMATOR / PROJECT MANAGER - DRYWALL & ACOUSTICAL
2018-12-28 13:20,https://newyork.craigslist.org/mnh/egr/d/new-york-city-violation-expeditor/6781975693.html,Violation Expeditor
2018-12-28 13:14,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/6781968777.html,Drafting/Estimating Internship
2018-12-28 12:14,https://newyork.craigslist.org/lgi/egr/d/nesconset-read-blueprints-architectural/6781904113.html,Read Blueprints. Architectural structural..
2018-12-28 11:47,https://newyork.craigslist.org/que/egr/d/astoria-draftsperson/6781874454.html,DRAFTSPERSON
2018-12-28 10:37,https://newyork.craigslist.org/que/egr/d/junior-architect/6781806757.html,JUNIOR ARCHITECT
2018-12-27 17:48,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6781448868.html,Junior Architect
2018-12-27 13:36,https://newyork.craigslist.org/brk/egr/d/brooklyn-fire-suppresion-takeoff/6781215517.html,Fire suppresion takeoff
2018-12-27 13:36,https://newyork.craigslist.org/mnh/egr/d/new-york-city-job-captain-project/6781215079.html,Job Captain / Project Architect
2018-12-27 13:27,https://newyork.craigslist.org/lgi/egr/d/civil-engineer-project-manager-nyc-and/6781205912.html,Civil Engineer/Project Manager (NYC and Long Island)
2018-12-27 11:00,https://newyork.craigslist.org/que/egr/d/flushing-architectural-designer/6781056136.html,Architectural Designer
2018-12-27 10:57,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer-3-5-yrs-exp/6781053334.html,Structural Engineer (3-5 yrs Exp.)
2018-12-27 10:48,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-junior/6781045483.html,Project Manager /Junior Architect 75K -100K
